airline,airport1,airport2,cnt
AA,DFW,SJU,120
AA,MSP,DFW,326
AA,LGA,ORD,860
AA,TPA,JFK,56
AA,STT,BOS,44
AA,PHX,DFW,550
AA,ORD,LAX,496
AA,DCA,STL,200
AA,ORD,SEA,214
AA,XNA,DFW,50
AA,ORD,DFW,825
AA,ORD,LAS,280
AA,DEN,DFW,558
AA,HDN,ORD,48
AA,LAX,DFW,914
AA,BNA,LGA,102
AA,FAT,DFW,112
AA,AUS,JFK,56
AA,PHL,MIA,168
AA,SJU,PHL,56
AA,SFO,MIA,168
AA,DFW,LAS,569
AA,RNO,DFW,150
AA,DFW,ELP,434
AA,LAX,SFO,336
AA,ORD,SFO,326
AA,MCO,DFW,500
AA,ORD,EGE,64
AA,MCO,ORD,224
AA,IAH,DFW,324
AA,DFW,BOS,422
AA,MTJ,DFW,16
AA,ORD,SNA,152
AA,OKC,DFW,390
AA,HSV,DFW,158
AA,DFW,RDU,278
AA,DFW,BHM,168
AA,PHX,MIA,56
AA,ORD,MSY,149
AA,DFW,PDX,224
AA,ORD,MSP,160
AA,FLL,ORD,168
AA,DFW,IAD,308
AA,CMH,DFW,104
AA,OGG,LAX,112
AA,MCI,DFW,436
AA,DFW,SNA,578
AA,AUS,LAX,162
AA,MCI,ORD,214
AA,SJU,BWI,56
AA,OGG,DFW,56
AA,DFW,LGA,776
AA,MIA,DFW,560
AA,LGA,MIA,615
AA,TUL,MIA,4
AA,MIA,JFK,392
AA,ORD,BOS,430
AA,EGE,LAX,56
AA,EGE,JFK,56
AA,BDL,MIA,112
AA,SLC,DFW,280
AA,JFK,SAN,56
AA,JAC,ORD,56
AA,DFW,ONT,222
AA,ATL,MIA,224
AA,MIA,DTW,112
AA,DFW,PIT,170
AA,DFW,TPA,392
AA,SAT,DFW,826
AA,EWR,DFW,310
AA,SJU,BOS,56
AA,DFW,COS,278
AA,STL,DFW,486
AA,EWR,ORD,168
AA,EGE,MIA,48
AA,MIA,DEN,112
AA,DCA,ORD,324
AA,DFW,HDN,64
AA,DFW,IND,278
AA,SAN,ORD,224
AA,SJU,TPA,56
AA,DFW,JAX,216
AA,SAN,DFW,500
AA,LAX,LAS,222
AA,STL,ORD,483
AA,DTW,DFW,260
AA,AUS,DFW,820
AA,MIA,TPA,298
AA,FLL,DFW,336
AA,LAX,LIH,56
AA,DFW,ICT,214
AA,LAS,MIA,168
AA,SAT,ORD,112
AA,SFO,DFW,526
AA,DFW,CLT,360
AA,MIA,BOS,392
AA,SJU,BDL,56
AA,ORD,PSP,64
AA,ORD,RSW,168
AA,BNA,LAX,56
AA,JFK,ORD,56
AA,HNL,SFO,56
AA,MIA,EWR,168
AA,EGE,DFW,136
AA,KOA,LAX,56
AA,LAX,MCO,56
AA,ORD,PBI,150
AA,DFW,SEA,392
AA,SJU,ORD,112
AA,MIA,IAD,112
AA,SJC,DFW,318
AA,LAX,EWR,54
AA,RNO,ORD,56
AA,DFW,SMF,224
AA,ORD,DEN,112
AA,MIA,IAH,168
AA,RIC,DFW,166
AA,MIA,BWI,112
AA,SJC,ORD,112
AA,SDF,DFW,164
AA,DFW,BDL,162
AA,BNA,DFW,436
AA,IAD,SJU,56
AA,DFW,JAC,24
AA,MIA,BNA,56
AA,BWI,DFW,326
AA,MFE,DFW,214
AA,STL,LGA,206
AA,PHL,DFW,322
AA,MIA,STT,112
AA,BUR,DFW,208
AA,TUS,ORD,112
AA,DCA,MIA,504
AA,HNL,ORD,46
AA,MIA,STX,62
AA,ORD,AUS,166
AA,DFW,PSP,168
AA,LAX,IAD,166
AA,DFW,ABQ,444
AA,MIA,STL,168
AA,DFW,RSW,168
AA,DFW,HNL,112
AA,JFK,FLL,112
AA,MIA,MCO,448
AA,LAX,MIA,392
AA,LAX,HNL,216
AA,RDU,ORD,156
AA,DFW,TUL,390
AA,MCO,JFK,224
AA,DFW,TUS,419
AA,OMA,DFW,272
AA,DFW,JFK,56
AA,JFK,LAS,112
AA,LGA,EGE,8
AA,JFK,LAX,548
AA,ORD,TPA,150
AA,STT,JFK,56
AA,MEM,DFW,214
AA,DFW,MSY,336
AA,TUL,ORD,56
AA,DFW,DAY,104
AA,JFK,SJU,168
AA,ATL,DFW,580
AA,LAX,SJU,16
AA,SEA,JFK,56
AA,MIA,RDU,168
AA,ORD,PHL,110
AA,MIA,MSY,168
AA,SJU,MIA,448
AA,SFO,JFK,278
AA,MSP,MIA,56
AA,DFW,PBI,112
AA,STL,LAX,166
AA,ORD,PHX,280
AA,BOS,LAX,168
AA,ORD,MIA,505
AA,DFW,ORF,112
AA,DFW,DCA,588
OO,ORD,MKE,416
OO,MRY,DEN,56
OO,AUS,ORD,40
OO,LAX,ABQ,139
OO,ASE,SFO,102
OO,MKE,STL,160
OO,BOI,LAX,90
OO,LAX,JAC,56
OO,CAK,ORD,4
OO,SAT,LAX,145
OO,IDA,DEN,156
OO,SFO,BUR,280
OO,MEM,MKE,60
OO,CLE,ORD,29
OO,DEN,MSY,24
OO,DEN,BHM,56
OO,SLC,DEN,656
OO,BHM,ORD,32
OO,ACV,SFO,340
OO,GCC,RKS,56
OO,MKE,DSM,104
OO,DEN,FAR,70
OO,STL,MEM,54
OO,DEN,PHX,36
OO,SEA,SFO,26
OO,SFO,GEG,112
OO,MSP,CID,61
OO,DFW,IAD,16
OO,ORD,STL,46
OO,DFW,IAH,102
OO,BFL,SFO,168
OO,BOI,ORD,57
OO,BZN,ORD,83
OO,SLC,SAT,152
OO,SLC,BZN,220
OO,ICT,MEM,50
OO,IAH,PIT,57
OO,GTF,SLC,152
OO,SLC,TWF,225
OO,AVL,ORD,112
OO,ATL,IAD,3
OO,ATL,IAH,100
OO,IAH,IAD,84
OO,DEN,GJT,285
OO,DEN,EUG,96
OO,FAT,DEN,152
OO,SBP,SFO,274
OO,ORD,SAT,6
OO,BIS,CLE,1
OO,FAR,ORD,54
OO,MSP,LEX,32
OO,SFO,MMH,56
OO,DEN,MSP,20
OO,ASE,LAX,164
OO,ASE,ORD,236
OO,STL,SLC,1
OO,ORF,IAD,30
OO,SLC,MSY,56
OO,MTJ,ORD,64
OO,LIT,DEN,53
OO,DEN,MEM,9
OO,OKC,ORD,78
OO,CLE,ATL,20
OO,GRB,ORD,84
OO,EUG,PDX,212
OO,CLD,LAX,324
OO,IAD,SYR,6
OO,DEN,GEG,56
OO,LAX,SMF,224
OO,RAP,SLC,104
OO,PSP,LAX,354
OO,CIC,SFO,216
OO,DEN,IND,10
OO,LAX,SMX,216
OO,ORD,PAH,112
OO,RKS,SLC,112
OO,GJT,ASE,1
OO,TYS,DEN,56
OO,DEN,RDM,56
OO,HSV,DEN,90
OO,SFO,MFR,300
OO,MKE,DEN,112
OO,CPR,SLC,108
OO,COS,SLC,108
OO,ORD,IND,62
OO,DEN,MAF,112
OO,SFO,PDX,190
OO,BFL,LAX,100
OO,ORD,DSM,85
OO,IAH,DEN,26
OO,LAX,TUS,230
OO,OAK,SLC,152
OO,SLC,IDA,264
OO,DEN,PIT,4
OO,MCI,SFO,56
OO,DEN,SNA,44
OO,SLC,COD,112
OO,IAH,MAF,53
OO,SYR,ORD,16
OO,SDF,MSP,76
OO,MSP,BNA,52
OO,OKC,IAD,12
OO,PSC,SLC,224
OO,ORD,HPN,172
OO,COS,ORD,227
OO,ORD,DAY,68
OO,ORD,CWA,156
OO,GRR,ORD,44
OO,LAX,RNO,163
OO,DEN,SGF,18
OO,MSP,GFK,246
OO,AUS,SLC,96
OO,BOS,CLE,19
OO,SEA,SLC,128
OO,TUS,SFO,112
OO,FWA,ORD,164
OO,CEC,ACV,48
OO,SFO,AUS,111
OO,IAH,MSP,62
OO,LGB,SLC,270
OO,SAN,DEN,7
OO,MKG,ORD,120
OO,OKC,DEN,24
OO,SFO,LAS,28
OO,MSN,MSP,38
OO,IAH,RSW,20
OO,MSP,RST,37
OO,BTM,SLC,104
OO,IAD,COS,55
OO,GJT,SLC,156
OO,DEN,ASE,610
OO,FAT,SLC,152
OO,DEN,ICT,138
OO,DRO,DEN,363
OO,CMX,ORD,112
OO,SGU,SLC,248
OO,GJT,LAX,1
OO,DEN,SJC,125
OO,MKE,IND,160
OO,MSP,RAP,184
OO,SFO,DFW,36
OO,SMF,ACV,96
OO,LAX,LAS,389
OO,DEN,HLN,108
OO,BIS,SLC,1
OO,ORD,CRW,4
OO,SFO,SMF,392
OO,IAH,RDU,22
OO,LAX,MTJ,16
OO,IAH,OKC,109
OO,MSP,OMA,49
OO,PSC,DEN,160
OO,SLC,ABQ,298
OO,SLC,OKC,160
OO,IAH,PHX,72
OO,SLC,MSP,17
OO,ICT,ORD,31
OO,DSM,DEN,33
OO,SLC,RDM,108
OO,ORD,OMA,100
OO,SAN,SFO,64
OO,MTJ,DEN,166
OO,SLC,BOI,219
OO,PDX,DEN,104
OO,IPL,LAX,77
OO,ELP,IAH,123
OO,SJC,SLC,238
OO,ORD,PIA,62
OO,LAX,IYK,146
OO,SLC,PSP,168
OO,BIS,MSP,139
OO,RKS,DEN,112
OO,SFO,LMT,112
OO,ORD,PIT,55
OO,COS,MSP,56
OO,PSP,SFO,224
OO,SFO,ONT,224
OO,LSE,MSP,76
OO,MSP,FAR,138
OO,ONT,DEN,4
OO,DEN,JAC,104
OO,DSM,IAH,28
OO,SDF,ORD,20
OO,COS,LAX,152
OO,ORD,ABQ,2
OO,DFW,ORD,78
OO,DEN,CMH,2
OO,SLC,SFO,494
OO,IAD,AUS,16
OO,ABQ,SFO,56
OO,MSP,ORD,4
OO,CEC,SFO,104
OO,ORD,ORF,30
OO,ABQ,IAH,55
OO,DEN,DFW,52
OO,DTW,DEN,18
OO,STL,DEN,18
OO,BOI,DEN,244
OO,SLC,TUS,164
OO,SNA,SLC,88
OO,SEA,LAX,209
OO,SLC,TUL,56
OO,DFW,LAX,112
OO,LAX,SLC,324
OO,FSD,DEN,112
OO,FAT,SFO,244
OO,HLN,MSP,2
OO,BNA,CVG,12
OO,PDX,SLC,198
OO,COD,DEN,56
OO,JAC,SLC,91
OO,CMH,MSP,20
OO,IAH,TUS,139
OO,CWA,EAU,48
OO,ORD,LIT,19
OO,BZN,SFO,56
OO,DEN,GCC,112
OO,SBA,SFO,430
OO,PDX,SEA,468
OO,ELP,DEN,72
OO,SFO,SNA,176
OO,SFO,RDD,248
OO,MSO,SLC,238
OO,BNA,SLC,56
OO,MCI,ORD,51
OO,MBS,ORD,160
OO,MSN,ORD,170
OO,DLH,ORD,112
OO,RDM,PSP,1
OO,DEN,CPR,208
OO,PIA,DEN,11
OO,LAX,YUM,268
OO,DTW,IAH,58
OO,PDX,LMT,56
OO,ONT,SLC,238
OO,DEN,MCI,24
OO,HLN,SLC,152
OO,BUR,SLC,158
OO,DEN,SMF,104
OO,LAX,PHX,232
OO,DEN,RAP,214
OO,LAS,PSP,168
OO,DEN,TUL,51
OO,MSP,MKE,8
OO,CVG,ORD,63
OO,IAD,PIT,6
OO,MSP,IND,28
OO,BNA,ORD,28
OO,LAX,SBA,434
OO,DEN,HDN,224
OO,SMF,RNO,1
OO,DEN,MLI,69
OO,FCA,SLC,166
OO,ATL,ORD,26
OO,DSM,MSP,60
OO,BZN,DEN,168
OO,ORD,DTW,56
OO,COS,IAH,155
OO,PHX,SLC,159
OO,MEM,ORD,53
OO,ASE,IAH,56
OO,SLC,RNO,156
OO,IPL,YUM,31
OO,DEN,BIS,163
OO,SBP,LAX,326
OO,LNK,ORD,95
OO,ORD,SGF,70
OO,ORD,FSD,28
OO,ATW,ORD,60
OO,XNA,ORD,16
OO,BIL,DEN,120
OO,MLI,ORD,105
OO,MSN,DEN,82
OO,CVG,MSP,12
OO,ORD,TYS,60
OO,DEN,CLE,52
OO,PDX,OTH,56
OO,MKE,OMA,160
OO,DEN,SBA,112
OO,SLC,GEG,188
OO,TUL,ORD,60
OO,CLE,CVG,52
OO,DEN,GUC,112
OO,MKE,IAH,53
OO,SLC,PIH,216
OO,SLC,CDC,96
OO,OMA,SLC,132
OO,SLC,LWS,102
OO,OKC,LAX,56
OO,AUS,DEN,32
OO,SLC,IAH,208
OO,MSP,DLH,58
OO,DEN,FCA,56
OO,SLC,LAS,87
OO,DEN,XNA,27
OO,EAU,ORD,112
OO,MEM,MSP,11
OO,GCC,SLC,56
OO,XNA,IAH,1
OO,MEM,SLC,70
OO,SAT,SFO,56
OO,BIL,SLC,216
OO,TUL,LAX,35
OO,SFO,MRY,330
OO,MSP,STL,1
OO,DEN,BNA,4
OO,SUN,SLC,392
OO,MSP,MOT,202
OO,PIT,MSP,28
OO,LAX,SFO,168
OO,SFO,OTH,112
OO,SLC,FAR,56
OO,ORD,TVC,44
OO,SLC,MFR,104
OO,PDX,RDM,164
OO,FAT,LAS,216
OO,SFO,PSC,112
OO,FAT,LAX,294
OO,ABQ,DEN,159
OO,RNO,DEN,73
OO,CLT,IAH,62
OO,PAH,LIT,1
OO,LAN,ORD,169
OO,SAN,SLC,76
OO,CID,ORD,126
OO,MKE,CAK,104
OO,GRR,DEN,3
OO,DEN,EGE,164
OO,ORD,RAP,10
OO,DAY,DEN,8
OO,STL,IAH,22
OO,IAH,MCI,81
OO,MSP,FCA,34
OO,MSP,TYS,33
OO,MSP,ICT,48
OO,MSO,DEN,164
OO,PSP,DEN,192
OO,SMF,SLC,209
OO,OMA,DEN,36
OO,LAX,SAN,1044
OO,DEN,LNK,127
OO,DEN,SEA,26
OO,IAD,IND,16
OO,BFL,DEN,56
OO,ORD,LEX,138
OO,MKE,PIT,168
OO,DEN,ATL,64
OO,DFW,SLC,110
OO,DEN,CVG,2
OO,SLC,MCI,152
OO,ELP,LAX,112
OO,MCI,MSP,24
OO,MSP,GRR,32
OO,ORD,SBN,124
OO,MSP,PSC,56
OO,EKO,SLC,216
OO,CID,DEN,45
OO,IAH,GRR,56
OO,MOD,SFO,216
OO,DEN,COS,604
OO,CVG,IAH,26
OO,COS,SFO,55
OO,PHX,SFO,72
OO,CVG,MKE,48
OO,SLC,ORD,326
OO,CLE,DCA,20
OO,SFO,RNO,269
OO,CMH,ORD,18
OO,MSP,BOI,10
OO,LAX,PDX,203
OO,DEN,GTF,108
OO,DEN,SAT,102
OO,SFO,EUG,328
OO,SLC,EUG,105
OO,LAS,DEN,42
OO,SDF,DEN,2
OO,DAY,MSP,60
OO,LAX,SJC,168
OO,BUR,DEN,112
OO,BOI,SFO,224
OO,ORD,SPI,160
OO,DFW,MSP,12
OO,MSP,CLE,104
OO,RDM,SFO,164
OO,TUS,DEN,315
OO,LAX,MRY,168
OO,MSP,TUL,56
OO,DEN,MOT,108
OO,CMH,IAH,46
OO,MFR,DEN,56
OO,IAH,AUS,20
OO,ORD,IAH,3
all,DFW,MOB,168
all,OKC,STL,90
all,MEM,MLI,24
all,MDW,RSW,284
all,BOI,LAS,112
all,XNA,DFW,437
all,BNA,BWI,364
all,BOI,LAX,90
all,BWI,MHT,412
all,ANC,ORD,56
all,CAK,ORD,164
all,ELP,ORD,220
all,MSP,HNL,24
all,MEM,STL,134
all,AGS,ATL,512
all,MDW,SAN,168
all,ROC,ORD,451
all,LBB,DFW,272
all,ABE,ORD,353
all,MFE,MEM,45
all,IAH,DFW,661
all,DFW,BOS,422
all,MDW,SAT,100
all,ACV,SFO,340
all,GCC,RKS,56
all,ONT,SEA,152
all,MCI,SFO,56
all,ATL,LEX,346
all,DFW,IAD,418
all,SLC,OAK,472
all,BOS,BWI,966
all,JAN,MDW,56
all,AUS,LAX,263
all,JFK,ROC,184
all,AUS,LAS,168
all,ATL,TRI,347
all,DFW,LGA,776
all,PHX,PSP,320
all,JAX,CLE,22
all,PHX,SBP,112
all,JAX,CLT,364
all,AVP,CLT,8
all,MCO,RIC,101
all,PHL,PBI,280
all,AVL,ORD,112
all,TUS,SEA,56
all,LAX,JAC,56
all,AMA,DAL,321
all,FLG,PHX,310
all,OMA,DTW,132
all,BWI,EWR,132
all,IAD,STT,17
all,IND,SLC,50
all,LAS,SNA,479
all,BOI,GEG,148
all,DFW,AGS,112
all,SJC,OGG,24
all,BOS,JAX,56
all,ATL,MYR,262
all,SFO,MSY,23
all,SMF,PHX,575
all,MKE,LGA,394
all,MCO,MDW,528
all,MCO,MDT,56
all,BOS,BUF,124
all,EWR,DCA,343
all,GSO,ORD,101
all,LAS,ONT,421
all,HOU,OAK,100
all,ALB,MDW,111
all,LGA,JAX,52
all,FLL,JAX,270
all,LGA,CLE,341
all,MIA,MEM,218
all,BRO,IAH,262
all,MDW,MSP,432
all,SDF,CLE,71
all,CLT,ILM,228
all,DCA,CLT,476
all,DEN,SDF,70
all,ORF,IAD,296
all,EWR,DAY,144
all,RST,ORD,110
all,LAS,BLI,56
all,ISP,RSW,36
all,LIT,DEN,153
all,TYS,IAD,140
all,PHX,YUM,328
all,SEA,STL,112
all,ATL,OKC,216
all,SDF,DFW,220
all,AUS,HRL,56
all,PHL,STL,104
all,CLD,LAX,324
all,RIC,CLT,268
all,HNL,ORD,102
all,DFW,SJU,120
all,LEX,MEM,56
all,ATW,ORD,288
all,ATL,PDX,146
all,DEN,RDU,56
all,DEN,RDM,56
all,ORD,TPA,362
all,DFW,TLH,56
all,SMF,ATL,88
all,SAN,SAT,104
all,ROA,ORD,73
all,ORD,PHL,1018
all,IAH,BWI,202
all,DCA,JFK,280
all,ORD,PHX,767
all,ATL,AVL,448
all,ORD,MQT,56
all,ORD,DSM,468
all,CLE,DEN,164
all,DEN,CLT,280
all,BNA,EWR,260
all,MDW,SFO,109
all,DSM,ATL,97
all,MOB,IAH,260
all,ATL,ILM,325
all,SNA,IAH,252
all,MCO,SJU,371
all,SEA,LIH,56
all,MSN,ORD,429
all,LAX,DFW,1028
all,FAT,DFW,112
all,CHS,EWR,108
all,LIH,PHX,42
all,OKC,IAH,449
all,OKC,IAD,12
all,ITO,HNL,1016
all,IAD,RDU,259
all,ORD,DBQ,48
all,BOS,IAH,242
all,LAS,MKE,319
all,BOS,IAD,559
all,TUS,SFO,112
all,FWA,ORD,312
all,CEC,ACV,48
all,CRW,MCO,24
all,ABE,ATL,112
all,CLE,TYS,34
all,GSP,CVG,1
all,CLE,MCI,154
all,CLE,MCO,162
all,PHL,ATL,977
all,EWR,ROC,159
all,MEM,MCO,168
all,MEM,MCI,84
all,DFW,ONT,222
all,IAH,ORF,112
all,IAH,ORD,830
all,MCO,STL,248
all,LAX,LAS,1759
all,TYS,ORD,456
all,AEX,IAH,112
all,DEN,ASE,610
all,BWI,RDU,312
all,DFW,IND,278
all,CMX,ORD,112
all,RDU,LGA,479
all,DFW,EVV,112
all,PHX,SDF,56
all,SGU,SLC,248
all,ISP,PBI,168
all,OMA,FSD,1
all,FLL,DFW,336
all,MSP,BIL,23
all,ATL,SRQ,446
all,IND,JFK,56
all,SFO,DFW,628
all,SMF,ACV,96
all,DEN,HLN,108
all,PIT,CVG,12
all,BIS,SLC,1
all,ABQ,OAK,101
all,BOS,SRQ,68
all,BWI,HSV,112
all,DAB,ATL,247
all,ATL,BTR,420
all,TLH,MIA,144
all,IAD,MHT,28
all,LAX,CLE,108
all,AUS,SFO,167
all,TPA,DEN,308
all,MIA,BWI,156
all,BNA,JAX,158
all,EWR,DTW,400
all,JFK,PHX,314
all,PIT,TPA,156
all,MFE,DFW,214
all,DSM,DEN,146
all,MSP,SAN,164
all,ORD,STT,8
all,DCA,MIA,616
all,IAD,ALB,202
all,ABQ,PDX,56
all,MLI,RSW,14
all,MTJ,DEN,222
all,MSP,SAT,24
all,STL,TPA,112
all,JFK,FLL,802
all,LAX,CMH,24
all,LAX,MIA,392
all,CLT,PHL,539
all,ORD,PIA,215
all,SLC,PSP,168
all,OMA,STL,147
all,MDW,STL,464
all,SFO,LMT,112
all,ALB,MCO,168
all,BRW,ANC,36
all,LSE,MSP,76
all,CLE,EWR,318
all,DSM,IAH,108
all,MIA,RDU,168
all,SEA,SAN,376
all,LGA,CMH,248
all,AUS,IAH,550
all,CLE,MKE,186
all,OMA,PHX,256
all,EWR,RSW,297
all,DEN,CMH,68
all,BOS,SLC,102
all,FLL,DTW,314
all,MSP,DFW,414
all,LAX,FAT,558
all,VPS,IAH,112
all,ORD,ORF,190
all,ABY,ATL,148
all,BOS,PBI,272
all,ABQ,IAH,310
all,BDL,DTW,108
all,ORD,DFW,1053
all,ATL,JAN,408
all,EGE,MIA,48
all,DCA,RSW,136
all,IAD,LGB,56
all,IAD,LGA,259
all,ATL,JAC,12
all,ASE,LAX,164
all,ATL,JAX,852
all,DEN,XNA,93
all,IAH,TUL,232
all,FSD,DEN,216
all,FAT,SFO,244
all,SYR,DCA,48
all,RDU,DTW,120
all,CMH,MSP,20
all,IAH,TUS,232
all,IAD,PNS,110
all,BZN,SFO,56
all,PHX,MIA,56
all,DEN,GCC,112
all,PDX,SEA,468
all,MDW,OMA,259
all,ELP,DEN,161
all,FAI,SEA,112
all,SFO,SNA,686
all,BWI,ORF,208
all,BWI,ORD,525
all,SFO,RDD,248
all,LAX,BWI,112
all,CVG,FLL,100
all,BHM,JAX,56
all,LGA,PHF,104
all,CLT,SEA,56
all,SJU,BWI,84
all,MCO,SWF,56
all,DLH,ORD,112
all,IAH,CRW,52
all,RDM,PSP,1
all,SFO,ATL,368
all,IAH,CRP,492
all,ORD,CMI,306
all,ORD,CMH,714
all,MCI,MKE,118
all,PHX,SEA,765
all,LAS,CLE,186
all,MCI,IAD,92
all,MCI,IAH,500
all,OAK,KOA,24
all,DFW,PIT,173
all,DTW,IAH,323
all,DFW,PIA,150
all,IAH,CLE,330
all,LAX,PHX,1149
all,IAH,CLT,716
all,GSO,IAH,97
all,LBB,IAH,202
all,LAX,PHL,272
all,LGB,SFO,204
all,MEM,GTR,56
all,OAK,PDX,300
all,MIA,TPA,298
all,AUS,LGB,56
all,BTV,JFK,200
all,ATL,TPA,1033
all,IDA,DEN,156
all,DFW,ICT,214
all,PHL,SEA,56
all,LGA,MIA,615
all,AUS,SEA,52
all,BWI,ECP,112
all,JFK,PIT,168
all,BOS,MSY,46
all,BOS,MSP,262
all,DTW,SJU,8
all,MCO,ROC,56
all,EWR,MCO,772
all,BUF,BWI,270
all,BZN,DEN,224
all,GPT,TPA,24
all,SEA,IAD,168
all,SEA,IAH,351
all,LAS,MHT,56
all,BWI,PWM,112
all,DCA,ATL,1162
all,SLC,JAC,190
all,PBI,DTW,157
all,IPL,YUM,31
all,MSY,CLT,224
all,BUF,FLL,120
all,RDU,IAH,262
all,BDL,RSW,56
all,ASE,ORD,236
all,LAS,TUS,271
all,PIT,RSW,80
all,IND,MCO,264
all,LAS,TUL,64
all,IND,MCI,101
all,SRQ,DTW,56
all,DFW,HNL,112
all,BNA,MEM,64
all,CVG,MSP,12
all,ROC,RSW,18
all,MDW,TPA,260
all,ELM,DTW,108
all,EWR,PBI,500
all,LIT,STL,104
all,DEN,SBA,112
all,MCI,CVG,2
all,ECP,HOU,112
all,SJC,SLC,238
all,ATL,MEM,685
all,ATL,MEI,104
all,JFK,RSW,276
all,BOS,LAX,380
all,IAH,HNL,56
all,SLC,IAH,334
all,BOS,LAS,126
all,SEA,SNA,438
all,JAX,JFK,145
all,EAU,ORD,112
all,BDL,BNA,56
all,MIA,CMH,168
all,GRK,IAH,29
all,MSP,STL,233
all,ATL,PBI,712
all,DEN,LIH,8
all,SLC,FAR,56
all,SBN,DTW,8
all,SMF,HNL,56
all,FAT,LAS,264
all,MTJ,DFW,56
all,EWR,GSP,82
all,ATL,GTR,56
all,BQN,JFK,81
all,ORD,PVD,118
all,ORD,MSY,216
all,DEN,IAD,526
all,DEN,IAH,530
all,ORD,MSP,789
all,BKG,MCO,8
all,YAK,CDV,56
all,AZO,ORD,166
all,RIC,ATL,594
all,GRR,DEN,11
all,EWR,EGE,56
all,OGG,LAX,376
all,FLL,HOU,112
all,MDW,SDF,207
all,PHX,FLL,168
all,CLT,CVG,198
all,SFO,EUG,328
all,PHX,STL,330
all,MSY,IAD,90
all,MSY,IAH,582
all,BNA,STL,104
all,DFW,BMI,56
all,DTW,MCO,436
all,MSP,FCA,34
all,FNT,MCO,56
all,IAH,LRD,180
all,JAC,ORD,110
all,MSP,ICT,48
all,BOS,RIC,104
all,MSP,RDU,4
all,ORD,PDX,290
all,PSP,DEN,224
all,STL,DFW,486
all,HSV,MEM,116
all,CLE,PHX,80
all,ELP,ATL,112
all,CLT,SJU,152
all,IAD,JFK,327
all,STL,ORD,529
all,BDL,DEN,56
all,SMF,MSP,96
all,BNA,RDU,200
all,HOU,JFK,98
all,LAS,SAT,216
all,LAS,SAN,648
all,BWI,PVD,454
all,LAS,MIA,168
all,BFL,PHX,176
all,ELP,LAS,168
all,SJU,BDL,56
all,MDW,RNO,56
all,BUF,CLT,224
all,ELP,LAX,249
all,JFK,LGB,100
all,IAD,ORD,386
all,ATL,SBN,8
all,MCO,SDF,56
all,DFW,MHK,168
